// авто-regex для числовых статов (любое число матчится). XUAT: точный ключ имеет приоритет.
r:"^Loading:\ ([\d.,:]+)%$"=Загрузка: $1%
r:"^\[white\ knuckle\-([\d.,:]+)r\]\ \[early\-access\]\ \[steam\]$"=[white knuckle-$1r] [ранний доступ] [steam]
r:"^Runs:\ ([\d.,:]+)$"=Забеги: $1
r:"^Total\ Climbed:\ ([\d.,:]+)\ Meters$"=Всего пройдено: $1 м
r:"^Pills\ Taken:\ ([\d.,:]+)$"=Принято таблеток: $1
r:"^Lifetime\ Roaches\ Stored:\ ([\d.,:]+)$"=За всё время накоплено тараканов: $1
r:"^Roaches\ Crushed:\ ([\d.,:]+)$"=Раздавлено тараканов: $1
r:"^Explosives\ Detonated:\ ([\d.,:]+)$"=Взорвано взрывчатки: $1
r:"^Wins:\ ([\d.,:]+)$"=Победы: $1
r:"^Food\ Eaten:\ ([\d.,:]+)$"=Съедено еды: $1
r:"^Pitons\ Placed:\ ([\d.,:]+)$"=Вбито крючьев: $1
r:"^Rebar\ Thrown:\ ([\d.,:]+)$"=Брошено арматуры: $1
r:"^Total\ Items\ Used:\ ([\d.,:]+)$"=Всего предметов: $1
r:"^Best\ Time:\ ([\d.,:]+)$"=Лучшее время: $1
r:"^Score:\ ([\d.,:]+)$"=Счёт: $1
r:"^Total\ Playtime:\ ([\d.,:]+)$"=Общее время игры: $1
r:"^Average\ Travel\ Speed:\ ([\d.,:]+)\ m/s$"=Средняя скорость: $1 м/с
r:"^Best\ Distance:\ ([\d.,:]+)\ Meters$"=Лучшая дистанция: $1 м
r:"^Average\ Speed:\ ([\d.,:]+)\ m/s$"=Средняя скорость: $1 м/с
r:"^Crimes\ Committed:\ ([\d.,:]+)$"=Совершено преступлений: $1
r:"^Injectors\ Used:\ ([\d.,:]+)$"=Инъекторов: $1
r:"^Rope\ Placed:\ ([\d.,:]+)$"=Размещено верёвок: $1
r:"^Current\ Roaches\ Stored:\ ([\d.,:]+)$"=Накоплено тараканов: $1
r:"^Highest\ Ascent:\ ([\d.,:]+)\ Meters$"=Максимальный подъём: $1 м
r:"^Deaths:\ ([\d.,:]+)$"=Смерти: $1
r:"^Distance:\ ([\d.,:]+)\ Meters$"=Дистанция: $1 м
r:"^Run\ Playtime:\ ([\d.,:]+)$"=Время забега: $1
r:"^Speed:\ ([\d.,:]+)\ m/s$"=Скорость: $1 м/с
r:"^Death\ Height:\ ([\d.,:]+)\ Meters$"=Высота смерти: $1 м
r:"^Roaches\ Banked:\ ([\d.,:]+)$"=Накоплено тараканов: $1
r:"^Total\ Deaths:\ ([\d.,:]+)$"=Всего смертей: $1
r:"^SCORE:\ ([\d.,:]+)$"=СЧЁТ: $1
r:"^FINAL:\ ([\d.,:]+)$"=ИТОГ: $1
r:"^Starter\ Loan\ \(([\d.,:]+)\)$"=Стартовый заём ($1)
r:"^Requires\ Starter\ Loan\ \(([\d.,:]+)\)$"=Требует Стартовый заём ($1)
r:"^Climb\ ([\d.,:]+)\ Meters$"=Подняться на $1 м
r:"^Climb\ ([\d.,:]+)\ meters\ in\ any\ Endless\ mode\.$"=Подняться на $1 м в любом Бесконечном режиме.
r:"^Timer:\ ([\d.,:]+)$"=Таймер: $1
r:"^<size=([\d.,:]+)>OBJECTIVES:</size>$"=<size=$1>ЦЕЛИ:</size>
r:"^\-\ Floor\ ([\d.,:]+),\ Sector\ A,\ 'Phoenix'$"=- Этаж $1, сектор A, 'Phoenix'
r:"^\-\ Floor\ ([\d.,:]+),\ Sector\ D,\ 'Houston'$"=- Этаж $1, сектор D, 'Houston'
r:"^\-\ Floor\ ([\d.,:]+),\ Sector\ C,\ 'Chicago'$"=- Этаж $1, сектор C, 'Chicago'
r:"^\-\ Floor\ ([\d.,:]+),\ Sector\ B,\ 'Los\ Angeles'$"=- Этаж $1, сектор B, 'Los Angeles'
r:"^\-\ Floor\ ([\d.,:]+),\ Sector\ A,\ 'New\ York'$"=- Этаж $1, сектор A, 'New York'
r:"^([\d.,:]+)\ Items$"=$1 предметов
r:"^<color=grey>SCORE:\ \{([\d.,:]+)\}$"=<color=grey>СЧЕТ: {$1}
r:"^<size=([\d.,:]+)>No\ Lives\ Remaining\.$"=<size=$1>Жизней не осталось.
r:"^Aggro:\ \{([\d.,:]+)\}%$"=Агро: {$1}%
r:"^Ascent\ Rate:\ \{([\d.,:]+)\}$"=Скорость подъема: {$1}
r:"^Ascent:\ ([\d.,:]+)\ Meters$"=Подъем: $1 метров
r:"^Ascent:\ \{([\d.,:]+)\}$"=Подъем: {$1}
r:"^BANK\ \{([\d.,:]+)\}\ ROACHES$"=В БАНК: {$1} ТАРАКАНОВ
r:"^BANK:\ ([\d.,:]+)$"=БАНК: $1
r:"^Banked\ \{([\d.,:]+)\}\ from\ your\ inventory\.$"=Из инвентаря отправлено в банк: {$1}.
r:"^Best\ Score:\ ([\d.,:]+)$"=Лучший счет: $1
r:"^COST:\ ([\d.,:]+)$"=ЦЕНА: $1
r:"^Capacity:\ \{([\d.,:]+)\}x$"=Вместимость: {$1}x
r:"^Climb\ Distance:\ \{([\d.,:]+)\}$"=Дистанция подъема: {$1}
r:"^Climb\ Speed:\ \{([\d.,:]+)\}$"=Скорость подъема: {$1}
r:"^Completed\ At:\ \{([\d.,:]+)\}$"=Завершено за: {$1}
r:"^Cost:\ \{([\d.,:]+)\}$"=Цена: {$1}
r:"^Crawlspace\ ([\d.,:]+)\ \(OST\)$"=Лаз $1 (OST)
r:"^Current\ Score:\ \{([\d.,:]+)\}$"=Текущий счет: {$1}
r:"^Current\ Speed:\ \{([\d.,:]+)\}$"=Текущая скорость: {$1}
r:"^Distance\ Climbed:\ ([\d.,:]+)\ Meters$"=Пройдено вверх: $1 метров
r:"^Distance:\ \{([\d.,:]+)\}$"=Дистанция: {$1}
r:"^Extra\ Cannon\ \(([\d.,:]+)\)$"=Доп. пушка ($1)
r:"^Failed\ to\ download\ workshop\ item\ leaderboard\ info\ for\ \{([\d.,:]+)\}!$"=Не удалось скачать данные таблицы лидеров предмета мастерской для {$1}!
r:"^Failed\ to\ submit\ leaderboard\ details\ in\ \{([\d.,:]+)\}\ attempts!$"=Не удалось отправить данные таблицы лидеров за {$1} попыток!
r:"^Fall\ Distance:\ ([\d.,:]+)$"=Дистанция падения: $1
r:"^Faster\ Cannon\ \-<color=red>\ ([\d.,:]+)m$"=Быстрее пушка -<color=red> $1m
r:"^File\ read\ and\ deserialize\ took:\ \{([\d.,:]+)\}ms$"=Чтение и десериализация файла заняли: {$1}мс
r:"^Floor\ ([\d.,:]+):\ Delta\ Labs\ Lobby$"=Этаж $1: вестибюль Delta Labs
r:"^Floor\ ([\d.,:]+):\ Director's\ Office$"=Этаж $1: кабинет директора
r:"^Floor\ ([\d.,:]+):\ Periphery\ Catalyst\ Reactor$"=Этаж $1: периферийный каталитический реактор
r:"^Has\ Reached\ Patrol\ Point:\ \{([\d.,:]+)\}$"=Достиг точки патруля: {$1}
r:"^Height\ At\ Death:\ ([\d.,:]+)\ Meters$"=Высота смерти: $1 метров
